disease,symptom
rosacea,acn appear blood bulbous bump caus central cheek contain develop dri enlarg experi eye eyelid face facial feel hot irrit known men nose occur ocular peopl persist pimpl preced problem pus red resembl rhinophyma rosacea skin small swell swollen symptom tender thicken time usual vessel visibl women
sun allergy,bleed blister bump crust hive itch merg pain patch rais red scale tini
eye melanoma,blurri center chang circl dark dust eye flash floater grow iri loss peripher poor pupil sensat shape speck spot vision
genital herpes,appear area bleed blister bump clear crust day experi form genit heal infect itch ooz pain red ruptur scab skin small tender tini ulcer urin week white
cirrhosis,abdomen absent accumul ankl appetit ascit atrophi bleed blood breast bruis confus discolor drive drowsi easili edema encephalopathi enlarg eye fatigu feet fluid gynecomastia hand hepat itchi jaundic leg loss men menopaus nausea palm period red relat sex skin slur speech spiderlik swell testicular vessel weight women yellow
mold allergy,cough dri drip eye itchi nose postnas runni scali skin sneez stuffi throat wateri
croup,aggrav agit anxieti bark breath cough cri cycl fever hoars labor loud noisi set sign symptom voic worsen
tetanus,abdomin blood bodi difficulti draft elev fever heart jaw last light loud minor minut muscl neck nois occurr pain physic pressur rapid rate spasm stiff swallow sweat touch trigger trismus typic
ards,blood breath confus extrem labor low pressur rapid sever short tired unusu
primary aldosteronism,cramp excess fatigu frequent headach muscl need thirst urin weak
ventricular tachycardia,angina arrest breath cardiac chest conscious death dizzi faint feel heart lightheaded loss pain palpit race short sudden
diarrhea,abdomin bloat blood bowel cramp fever loos movement mucus nausea need pain stool urgent wateri
cardiomyopathy,abdomen ankl bloat breathless buildup chest cough discomfort dizzi exert faint fatigu feel feet fluid flutter heartbeat leg lie lightheaded pound pressur rapid rest swell
atypical depression,affect appetit arm critic day daytim depress event feel gain good heavi hour increas job last leaden leg life lift news posit reject relationship respons sensit sleep sleepi social temporarili weight
rubella,ach arm base begin disappear ear enlarg especi eye face fever fine headach inflam joint leg lower lymph mild neck node nose pink quick rash red runni sequenc skull spread stuffi tender trunk women young
broken ribs,area bend bodi breath deep injur press twist
acute kidney failure,ankl breath case caus chest coma confus decreas fatigu feet fluid heartbeat irregular leg nausea normal occasion output pain pressur remain retent seizur sever short swell urin weak
ventricular septal defect (vsd),breath breathless cri easi easili eat exert failur fast fatigu gain heartbeat irregular lie play poor rapid short thrive tire weak weight
creutzfeldt-jakob disease,blind blur chang difficulti impair incoordin insomnia jerki loss memori movement person speak sudden swallow think vision
insomnia,accid anxieti asleep attent daytim depress difficulti earli error fall feel focus increas irrit night ongo pay rememb rest sleep sleepi task tired wake worri
hemochromatosis,abdomin bronz color diabet drive failur fatigu fog gray heart impot joint liver loss memori pain sex skin weak
bags under eyes,circl dark loos mild saggi skin swell
thalassemia,abdomin bone dark deform facial fatigu growth pale skin slow swell urin weak yellowish
paraneoplastic syndromes of the nervous system,balanc cognit coordin difficulti disturb fine hallucin impair involuntari loss maintain memori motor movement muscl object pick problem seizur skill sleep slur speech stutter swallow think tone unusu vision walk weak
precocious puberty,acn adult bodi boy breast deepen enlarg facial girl growth hair odor peni period pubic rapid testicl underarm voic
bladder cancer,appear blood bright caus cola color detect frequent hematuria lab normal pain red test urin
chronic lymphocytic leukemia,abdomen caus enlarg fatigu fever frequent infect left loss lymph night node pain painless portion spleen sweat upper weight
coronary artery disease,activ angina arm arteri attack away block blood bodi breath brief call caus chest classic complet coronari crush develop emot especi extrem fatigu feel felt general goe heart includ left meet middl minut neck need occur pain peopl physic pressur pump sharp short shoulder sign stand stop stress sweat symptom tight trigger usual women
charcot-marie-tooth disease,abil ankl arch awkward bulk curl decreas difficulti fall feel feet foot footdrop frequent gait hammerto high higher leg lift loss muscl normal run sensat step toe trip weak
alpha-gal syndrome,allerg bodi breath dead diarrhea eczema face headach hive itch itchi lip nausea nose pain part potenti reaction restrict runni scali sever short skin sneez stomach swell throat tongu vomit wheez
low sperm count,abnorm area bodi chromosom decreas difficulti drive dysfunct erect erectil exampl facial function hair hormon low lump maintain pain problem sex sexual sign swell testicl
craniosynostosis,abnorm affect babi depend develop disappear feel fontanel grow growth hard head misshapen rais ridg shape skull slow sutur
fibrocystic breasts,area bigger blend breast brown chang continu cycl dark discharg doctor evalu find fluctuat general green increas leak lump lumpi menstrual midcycl month new nippl nonbloodi ovul pain period persist pressur promin similar size specif squeez surround tend tender thicken tissu worsen
myocarditis,abnorm ach activ ankl arrhythmia bodi breath chest diarrhea difficulti faint fatigu feet fever fluid headach heart infect joint leg pain physic rapid rest retent rhythm short sign sore swell symptom throat viral
iga nephropathy (berger's disease),blood caus cell color edema episod exercis feet foami hand high infect leak pain pressur protein proteinuria red repeat respiratori rib side strenuous swell tea upper urin usual visibl
allergies,anaphylaxi area bodi breath chest conjunct cough edema eye face facial flake hive itch itchi larg lip mouth nose peel rash red redden roof runni short site skin sneez sting stuffi swell swollen throat tight tingl tongu wateri wheez
preterm labor,abdomin babi backach bleed bloodi break chang constant continu contract cramp discharg dull fluid frequent gush light like low lower membran mild mucus pelvic pressur preterm regular ruptur sensat spot tear tighten trickl type vagin wateri
schizoid personality disorder,activ appear appropri choos close cold convers critic desir difficulti emot enjoy experi express feel follow goal hallucin hard humorless indiffer lack like littl live motiv paranoia pattern pleasur prais prefer react realiti relationship remark sens sexual situat speak strang tone touch unlik want
wet macular degeneration,abrupt bent blind blurri bright central color decreas defin distort eye field general hazi intens line onset overal rapid reduc spot straight symptom vision visual worsen
inguinal hernia,ach area bend bone bulg burn cough descend discomfort drag especi groin heavi intestin lift obvious occasion pain pressur protrud pubic scrotum sensat strain swell testicl upright weak
lynch syndrome,affect age cancer carcinoma colon endometri especi famili gland histori includ intestin kidney liver occur ovarian relat sebac small stomach sweat uterus young younger
stuttering,abil addit anticip anxieti blink bodi brief broken certain clench communic difficulti effect excess extra eye face facial fist head jaw jerk limit lip move movement paus phrase produc prolong rapid repetit sentenc silenc sound start syllabl talk tension tic tight tremor upper word
proctitis,abdomen bleed bowel continu diarrhea feel frequent full left movement mucus need pain pass rectal rectum
mrsa infection,accompani drainag fever pus touch warm
sprained ankle,affect ankl bear bruis especi foot injuri instabl motion pain pop rang restrict sensat sound swell tender time touch weight
frontal lobe seizures,abnorm arm bicycl bodi complet difficulti explos extend eye fencer flex head includ laughter like movement partial pedal pelvic person pose postur profan repetit rock scream speak thrust unrespons
hay fever,allerg blue color congest conjunct cough drip eye fatigu itchi mouth nasal nose postnas red roof runni shiner skin sneez swollen throat wateri
shingles,age begin blister break burn cancer chronic complic crust damag day eye famili fatigu fever fill fluid headach ill immun increas infect itch lead left light medic near numb occur older open pain perman rash red risk sensit signific system tingl touch untreat weaken widespread
aplastic anemia,bleed breath bruis cut dizzi easi fatigu fever frequent gum headach heart infect irregular noseble pale prolong rapid rash rate short skin unexplain
chickenpox,appetit blister break broken bump cover crust day feel fever fill fluid form general headach heal leak loss malais papul pink rais red scab small tired unwel vesicl
anemia,breath chest cold dizzi fatigu feet hand headach heartbeat irregular lightheaded pain pale short skin weak yellowish
eyestrain,blur burn concentr difficulti doubl dri eye feel headach increas itch light neck open sensit shoulder sore tire vision wateri
peanut allergy,breath cramp diarrhea digest hive itch mouth nausea nose problem reaction red runni short skin stomach swell throat tighten tingl vomit wheez
transposition of the great arteries,appetit blue breath color cyanosi gain lack poor short skin weight
emphysema,alert blue breath climb exert fingernail gray lip mental short stair turn
aortic valve regurgitation,activ angina ankl arrhythmia breath chest discomfort especi exercis faint fatigu feet flutter heart heartbeat increas irregular level lie lightheaded murmur pain palpit puls rapid sensat short swollen tight weak
mononucleosis,antibiot armpit better fatigu fever headach lymph misdiagnos neck node rash skin soft sore spleen strep swollen throat tonsil treatment
lung cancer,away blood bone breath chest cough headach hoars lose new pain short small tri weight
pseudomembranous colitis,abdomin cramp dehydr diarrhea fever mucus nausea pain pus stool tender wateri
restless legs syndrome,ach airplan associ begin call car caus common condit crawl creep electr even extend itch jiggl kick leg lessen lie limb main movement movi night nighttim occur pace period possibl pull relief rest rls sensat sit sleep stretch symptom theater throb time twitch typic walk worsen
mitral valve disease,abnorm activ breath fatigu heard heart heartbeat irregular lie murmur particular short sound stethoscop
dry eyes,blur bodi burn contact difficulti dri drive eye fatigu have irrit lens light mucus nighttim red respons scratchi sensat sensit sting stringi vision wateri wear
castleman disease,enlarg fatigu fever liver loss nausea night spleen sweat unintend weight
pulmonary embolism,abl appear attack bend blood bloodi breath calf caus chest clammi cough cyanosi deep deepli discolor dizzi excess exert feel felt fever get have heart heartbeat irregular leg lightheaded like pain produc rapid sharp short skin sputum stoop stop streak sudden sweat swell symptom thrombosi typic usual vein wors
small bowel prolapse (enterocele),bulg discomfort dyspareunia eas feel full intercours lie low pain pelvi pelvic pressur pull sensat soft tissu vagin vagina
amniotic fluid embolism,abnorm alter anxieti bleed blood breath cardiovascular cesarean chill clot coagulopathi collaps conscious dissemin distress disturb doom edema effect excess failur fetal fluid heart incis intravascular intraven life loss low lung mental pressur problem pulmonari pump rapid rate rhythm seizur sens short site slow status sudden threaten uterus
diaper rash,area babi buttock chang cri diaper disposit especi fuss genit look mark notic rash red region sign skin tender thigh touch uncomfort usual wash
hip fracture,area bruis fall groin hip inabl injur leg outward pain sever shorter swell turn walk weight
diabetes insipidus,amount bed cold constip delay diaper dilut drink extrem fever frequent growth heavi larg loss need night prefer produc sleep thirst troubl urin vomit weight wet
temporal lobe seizure,abdomen awar chew coaster confus deja difficulti experi extrem fear feel finger happen have inabl joy lip loss motion movement occur odor period pick recal repeat rise roller seizur sens sensat similar sleepi smack speak stare strang sudden surround swallow tast unawar unprovok unusu
febrile seizure,arm bodi child common complex confin conscious febril fever higher hour jerk last leg longer lose minut occur period recur second seizur shake simpl specif type
hoarding disorder,abl acquir actual area avoid bath bathroom believ belov book build buildup cloth clutter conflict cook crowd difficulti discard disorgan distress emot excess feel food function futur happier have home import indecis intend item keep kitchen level live lose need newspap organ paperwork part peopl perfection persist pet pile plan point possess problem procrastin purpos reduc regardless remind remov repres room safe safer save sentiment serv signific space stack surround tendenc thing thought throw time trash tri uniqu unsanitari unus unusu upset use valu walk want wast
infectious diseases,ach cough diarrhea fatigu fever muscl
bronchiolitis,cough fever nose present runni slight stuffi
bursitis,achi affect area bruis disabl especi excess exercis exert feel fever hurt inabl joint look pain press rash red sharp shoot stiff sudden swell swollen
dumping syndrome,abdomin bloat cramp diarrhea dizzi eat feel flush heart lightheaded nausea rapid rate sweat vomit weak
left ventricular hypertrophy,breath chest dizzi exercis faint fatigu flutter heartbeat pain palpit pound rapid sensat short
diabetic retinopathy,area blur color dark float floater fluctuat impair loss spot string vision
cerebral palsy,abnorm arm asymmetr ataxia balanc bodi button cloth condit coordin crawl cross crouch delay develop difficulti disabl diseas drag drool eat exagger excess favor fine floppi gait hand health hear incontin intellectu involuntari knee lack learn leg like mental mileston motor movement muscl normal oral pain percept pick problem push reach reflex rigid scissor see seizur sit skill slow spastic speak speech stiff suck swallow toe tone touch tremor urinari utensil variat walk wide writh
breast cancer,appear area areola breast chang crust differ dimpl feel flake invert like lump newli nippl orang peel pigment pit red scale shape size skin surround thicken tissu
suspicious breast lumps,breast chang dimpl easili feel firm fluid hard irregular larg leak like lump move nippl orang red round shape size skin smooth solid
hypothyroidism (underactive thyroid),ach blood cholesterol cold constip depress dri elev enlarg face fatigu gain gland goiter hair heart heavier hoars impair increas irregular joint level memori menstrual muscl normal pain period puffi rate sensit skin slow stiff swell tender thin thyroid weak weight
diffuse idiopathic skeletal hyperostosis (dish),affect area difficulti dish elbow feel heel hoars knee loss morn motion neck notic pain rang shoulder stiff stretch swallow voic
food poisoning,abdomin arm bloodi blurri cramp day dehydr diarrhea dizzi dri episod excess extrem fever frequent higher inabl lightheaded liquid littl mouth muscl nausea neurolog oral pain sever sign stool symptom temperatur thirst tingl urin vision vomit wateri weak
prediabetes,blur excess fatigu frequent hunger increas thirst urin vision
rem sleep behavior disorder,abl action arm attack awaken bed chase curs defend dream emot episod fill flail jump kick laugh movement nois outcri punch recal respons shout talk violent
bradycardia,activ breath chest confus dizzi easili faint fatigu lightheaded memori near pain physic problem short syncop tire
kidney cancer,appear appetit away blood cola color fever loss pain pink red tired unexplain urin weight
plantar warts,actual base black blood call callus clot common defin fleshi foot forefoot graini grown growth hard heel interrupt inward lesion line normal pain pinpoint ridg rough seed skin small spot stand tender thicken toe usual vessel walk wart
uterine fibroids,backach bladder bleed constip difficulti empti frequent heavi last leg menstrual pain pelvic period pressur urin week
spina bifida,abnorm bifida birth birthmark canal cord cover defect dimpl discov expos form hair includ involv issu lower mark membran middl mri myelomeningocel nerv newborn occulta open protrud remain sac sever sign skin small spina spinal symptom tissu tuft type typic ultrasound under usual vertebra
esophageal varices,abdomen amount ascit black bleed blood bloodi bruis buildup case color conscious easi eye fluid jaundic larg lightheaded loss sever skin stool tarri vomit yellow
helicobacter pylori (h. pylori) infection,abdomen abdomin ach appetit bloat burn burp frequent loss nausea pain stomach unintent weight wors
tricuspid valve regurgitation,abdomen abnorm activ breath capac declin exercis fatigu heart leg neck puls rhythm short swell vein
folliculitis,blister break bump burn cluster crust develop fill follicl hair head itchi larg mass open pain pimpl pus red skin small swollen tender white
spermatocele,affect discomfort full heavi pain spermatocel testicl
ampullary cancer,abdomin bleed clay color eye fever jaundic loss nausea pain rectum skin stool vomit weight yellow
kidney cysts,abdomin dull fever pain upper
adult still's disease,ach achi activ adult afternoon ankl appear arm come daili discomfort diseas disrupt earli ebb elbow especi even fever flow hand inflam joint knee last late leg longer lymph muscl muscular neck node normal pain peak pink rash return salmon sever shoulder sore spike stiff swollen symptom temperatur tender throat trunk usual week wrist
cellulitis,area blister dimpl expand fever pain red skin spot swell tend tender warmth
urinary incontinence,abl activ adult arthriti bladder caus complet condit constant cough diabet disord dribbl exampl exercis exert experi fall follow frequent function heavi impair includ incontin increas indic infect intens interact involuntari keep laugh leak lift limit loss make mental minor mix need neurolog night older overflow pant physic pressur quick restrict risk rush sever sneez social stress sudden time toilet type unbutton under urg urin urinari
stomach polyps,abdomen anemia blood nausea pain press stool tender
lip cancer,discolor flat heal lip mouth numb pain rais skin slight sore tingl whitish
urinary tract infection (uti),amount appear area blood bone bright burn center cloudi cola color especi frequent pain pass pelvi pelvic persist pink pubic red sensat sign small smell strong urg urin women
bedsores (pressure ulcers),area chang color cooler drain feel like pus skin swell tender textur touch unusu warmer
coarctation of the aorta,blood breath chest cold cramp difficulti feed feet headach heavi high irrit leg muscl noseble pain pale pressur skin sweat weak
somatic symptom disorder,abnorm activ adequ bodi breath cancer care caus check concern condit constant damag diseas effect evalu evid expect fatigu fear feel frequent general harm have health heart identifi ill impair medic mild moder multipl normal pain physic potenti relat reliev repeat sensat sensit sever short sign signific singl specif symptom think threaten treatment unrel unrespons unusu usual vari view visit weak worri wors
ruptured eardrum (perforated eardrum),bloodi drainag ear fill hear loss mucuslik nausea pain pus quick result ring sensat spin subsid tinnitus vertigo vomit
mosquito bites,appear area bite blister brown bruis bump dark day fever grade hard hive instead itchi larg like look low lymph minut multipl node puffi red reddish small spot swell swollen white
whooping cough,air blue breath caus congest cough end extrem eye face fatigu fever high nasal nose pitch provok red result runni sound vomit wateri whoop
osteoarthritis,abl affect appli awaken bit bone caus crackl extra feel flexibl form grate hard hear hurt inact inflamm joint light like loss lump motion movement near notic pain pop pressur rang sensat soft spur stiff swell tender tissu use
sleep terrors (night terrors),adulthood aggress appear awaken bed begin behavior block breath concern confus continu daytim dilat disrupt event excess eye face famili flush frequent frighten function hard heavili hous inconsol injuri kick lead littl member memori morn person possibl problem puls pupil race restrain result routin run safeti scream shout sit sleep sleepi stare start sweat symptom teen terror thrash wide year
spinal arteriovenous malformation (avm),bodi bowel climb difficulti feel headach lack leg light move neck numb pain problem sensit sever side stair stiff sudden tingl urin walk weak
scorpion sting,acceler blood breath children cri difficulti drool excit eye head heart high hypertens inconsol intens movement muscl nausea neck numb pain pressur rate restless slight sweat swell tachycardia thrash tingl twitch unusu vomit warmth
tension headache,abrupt ach confus difficulti doubl dull especi fever forehead get head headach injuri mental muscl neck numb pain pressur scalp seizur sensat sever shoulder side speak stiff tender tight vision weak wors
esophageal cancer,burn chest cough difficulti dysphagia heartburn hoars indigest loss pain pressur swallow tri weight worsen
addison's disease,abdomin appetit behavior blood bodi crave darken decreas depress diarrhea dysfunct extrem faint fatigu gastrointestin hair hyperpigment hypoglycemia irrit joint loss low muscl nausea pain pressur salt sexual skin sugar symptom vomit weight women
adrenal cancer,abdomin appetit bloat breast caus chang enlarg excess facial fever gain hair head hormon irregular loss mark men muscl nausea pain period pink purpl shrink skin stretch testicl tissu tri vomit weak weight women
ischemic colitis,belli blood bowel bright cramp diarrhea feel gradual maroon nausea occur pain passag red stool sudden tender time urgenc
osteoporosis,bone break caus collaps easili expect fractur height loss pain postur stoop time vertebra
dysphagia,acid avoid breastbon bring certain chest cough cut drool food frequent gag get have heartburn hoars lose odynophagia pain piec regurgit sensat smaller sternum stomach stuck swallow throat troubl unabl unexpect weight
dry skin,ashi bath bleed crack deep especi feel fine flake gray itch line look peel pruritus red rough scale sever shower skin slight swim tight
spinal cord tumor,arm bladder bodi bowel cold differ difficulti especi fall feel function growth heat lead leg loss mild muscl night pain part radiat sensat sensit sever site tumor walk weak wors
goiter,base breath cough difficulti feel hoars makeup neck obvious particular shave swallow swell throat tight
colic,abdomen appar arch arm bodili chang clench cri diaper diminish discolor episod even express extrem face facial fist fussi hunger intens leg like mouth need occur pain paler predict pull reason redden scream skin stiffen tens tension time unlik
bulimia nervosa,abnorm amount avoid bing bodi calori certain control dietari diuret eat enema episod excess exercis fast fear feel food forc gain herbal larg laxat like live loss need preoccupi product repeat restrict shape sit stop supplement vomit weight
digeorge syndrome (22q11.2 deletion syndrome),annual appar attent babi begin behavior birth blood bluish breath certain checkup child chin circul cleft combin come condit cyanosi defect delay delet develop diagnost difficulti disabl disord doctor ear eye facial factor failur famili featur feed frequent gain gap gastrointestin groov growth heart hospit ill infant infect issu learn leav like lip low mileston mouth murmur muscl narrow nasal oxygen palat pediatrician poor problem readili regular result rich roll roof schedul set sever sit skin sound speech suspect syndrom test time tone typic underdevelop upper visit weight wide
torn meniscus,difficulti especi feel fulli give knee lock pain place pop rotat sensat stiff straighten swell tri twist way
knee pain,crunch fulli inabl instabl knee nois pop red stiff straighten swell touch warmth weak
anal cancer,anal anus area bleed canal growth itch mass pain rectum
hashimoto's disease,ach bleed brittl cold constip depress dri enlarg excess face fatigu gain hair increas joint laps loss memori menstrual muscl nail pain pale prolong puffi sensit skin sluggish stiff tender tongu unexplain weak weight
grand mal seizure,altern begin bladder bowel caus clonic common confus conscious contract control convuls cri disorient end fall fatigu flex follow grand happen headach loss mal minut muscl occur peopl period persist person phase postict refer relax rhythmic scream second seizur sever sleepi sudden tend tonic unconsci unrespons usual
intracranial hematoma,bodi confus conscious dizzi drowsi head headach increas injuri lethargi loss movement opposit paralysi progress pupil seizur size slur speech unconsci unequ vomit
acute lymphocytic leukemia,abdomen armpit bleed bone breath caus decreas energi fatigu fever frequent general groin gum infect lump lymph neck node noseble pain pale sever short skin swollen weak
arteriovenous malformation,aphasia apraxia ataxia bleed bodi brain buildup caus confus congest conscious control coordin dementia dizzi enlarg extrem eye failur field fluid function gait hallucin head headach heart hydrocephalus includ languag lose loss lower memori movement muscl nausea nerv neurolog numb optic pain paralysi perform plan problem progress requir scalp seizur sensat speech sudden swell swollen task thrive tingl understand unusu vein vision vomit weak
amnesia,amnesia anterograd difficulti event familiar follow inform learn new onset past previous rememb retrograd
color blindness,blue color differ green red shade yellow
bone spurs,arm bend bone caus contain cord depend extend feel hip joint knee leg motion narrow nerv numb pain pinch placement rang reduc root space spinal spine spur vertebra weak
diabetic ketoacidosis,blood breath confus excess fatigu frequent fruiti high keton level nausea pain scent short stomach sugar thirst urin vomit weak
brugada syndrome,breath chaotic dizzi extrem faint fast gasp heartbeat irregular labor night palpit particular seizur
retrograde ejaculation,cloudi contain dri ejacul inabl infertil littl male orgasm peni pregnant semen urin woman
thyroid cancer,chang difficulti felt hoars includ increas lump lymph neck node nodul pain skin swallow swollen throat voic
down syndrome,broad brushfield call color creas ear excess eye face feet finger fissur flatten flexibl hand head height iri lid muscl neck palm palpebr poor protrud relat shape short singl slant small spot tini tone tongu unusu upward white
lupus nephritis,ankl blood call creatinin excess feet foami hand high level pressur product protein swell urin wast
paget's disease of bone,affect arm bend bone bowleg caus compress diseas enlarg extra headach hear hip joint knee leg loss misshapen nearbi nerv numb osteoarthr overgrowth paget pain pelvi root skull spine stress tingl weaken
shigella infection,blood contain cramp diarrhea fever mucus nausea pain stomach vomit
anorgasmia in women,abl acquir anorgasmia certain circumst climax difficulti general lifelong masturb oral orgasm partner reach sex situat
molluscum contagiosum,abdomen adjac adult appear arm armpit center characterist children color diamet dot easili face flesh genit hand inch indent infect inflam inner itchi lower millimet near neck rais red remov round rub scratch seen sexual skin small smaller spread thigh top transmit typic umbil upper usual virus
postherpetic neuralgia,ach affect allodynia associ bear burn cloth common condit deep describ feel heal itch itchi jab last light longer month neuralgia numb pain peopl postherpet produc rash sensit sharp shingl skin touch
pericarditis,abdomin acut attack begin better breastbon breath chest chronic constrict continu cough deep develop differ difficult episod fatigu feel fever forward futur general get grade heart heartbeat incess last lean left leg lie longer low make month neck occur pain palpit pericard pound race recurr short shoulder sick sit slowli spread sudden swell symptom tell usual weak week wors
burning mouth syndrome,affect bitter burn chang come common day discomfort dri gum increas lip littl loss metal mouth numb occur palat progress scald sensat soon start sting tast thirst throat tingl tongu wake wors
sacroiliitis,bear climb larg leg prolong run stair stand stride take weight
hypopituitarism,abdomin ambit blood bodi breast chang cold composit confus constip decreas difficulti dri dysfunct electrolyt erectil excess extrem facial faint fat fatigu feed flash frequent gain hair hot imbal inabl infect irregular isol lack lead loss low milk mood muscl nausea pain period pressur produc prolong pubic sensit sever skin social stay thirst urin vomit warm weak weight
sore throat,ach bodi cough difficulti fever gland headach hoars jaw muffl nausea neck nose pain patch pus red runni scratchi sensat sneez sore swallow swollen talk throat tonsil voic vomit white worsen
heatstroke,agit alter behavior bodi breath brought burden coma confus cool core delirium dri exercis feel flush head headach heart heat heatstrok help high higher hot increas irrit main mental moist nausea obtain place puls race rapid rate rectal red result seizur shallow sick sign signific skin slight slur speech state stomach strenuous stress sweat temperatur thermomet throb touch tremend turn vomit weather
trichomoniasis,burn discharg ejacul foul genit gray green insid intercours irrit itch pain peni red sexual smell urin vagin white yellow
breast cysts,area benign breast brown clear color dark decreas discharg easili edg increas indic lump movabl nippl oval pain period resolut round size smooth straw symptom tender typic yellow
anhidrosis,area bodi cramp dizzi feel flush general hot littl muscl patch perspir scatter singl weak
binge-eating disorder,amount asham behavior bing control depress diet disgust eat episod feel food frequent guilti hour hungri larg loss period possibl rapid secret specif time uncomfort unusu upset weight
nickel allergy,blister bump burn case chang color drain dri fluid itch patch rash red resembl sever skin
lupus,appear blue bodi breath bridg butterfli cheek chest cold confus cover dri expos exposur eye face fatigu fever finger headach joint lesion loss memori nose pain period phenomenon photosensit rash raynaud shape short skin stiff stress sun swell toe turn white worsen
borderline personality disorder,abandon abus anger anxieti avoid bad behavior believ bing bitter care chang contact cruel day drive drug eat empti end exist extrem fear feel fight frequent gambl go goal good happi have hour ideal ident imag imagin impuls inappropri includ injuri intens irrit job last lose loss measur minut moment mood ongo paranoia pattern period person physic posit quit rapid real realiti reckless reject relat relationship respons riski sabotag sarcast see self separ sex shame shift spend spree stress success sudden suicid swing temper threat unsaf unstabl valu wide
sex headaches,ach dull excit head headach increas intensifi moment neck occur orgasm sever sexual sudden throb
leukoplakia,abil area away chang dark ear erythroplakia flat grayish harden heal irregular jaw lesion leukoplakia like lump mouth open pain patch persist plaqu precancer progress rais red reduct sore speckl swallow textur thicken tissu week white wipe
pneumonitis,appetit breath cough fatigu loss short unintent weight
viral hemorrhagic fevers,ach bone dizzi fatigu fever high joint muscl weak
benign prostatic hyperplasia (bph),bladder blood complet difficulti dribbl end frequenc frequent inabl increas infect need night nocturia start stop stream tract urgent urin urinari weak
scrotal masses,abdomen ach blood comma dull epididymi feel fever frequenc groin harden heavi lower lump miss nausea pain pus radiat red scrotum shape skin soft sperm store sudden swell swollen tender testicl transport tube unusu urin urinari vomit
pancreatic neuroendocrine tumors,abdomen blood constip cramp diabet diarrhea eye fatigu heartburn indigest loss low muscl pain rash skin stomach sugar ulcer weak weight yellow
cholera,appear bodi caus cholera come danger dehydr develop diarrhea earli especi fluid hour indic liter loss mild milki nausea occur pale quart quick rang relat resembl rice rins sever stage start sudden symptom vomit water weight
poison ivy rash,blister breath burn difficulti inhal itch ivi poison red smoke swell
primary biliary cholangitis,abdomen ankl ascit bone brittl buildup cholesterol creas darken deposit diarrhea dri edema elbow exposur eye eyelid failur fatigu fatti feet fluid fractur greasi high hyperpigment hypothyroid includ itchi jaundic joint knee lead liver loss mouth muscl musculoskelet osteoporosi pain palm relat right skin sole spleen steatorrhea stool sun swell swollen thyroid underact upper weak weight xanthoma yellow
von willebrand disease,anemia bleed blood breath bruis centimet chang clot dental diamet doubl easi excess fatigu flow greater heavi hour inch includ injuri long lumpi menstrual minut need noseble pad protect sanitari short stool stop surgeri symptom tampon tired urin use work
keratoconus,blur bright caus chang cloud distort drive eyeglass frequent glare increas light need night prescript problem sensit sudden vision worsen
retinoblastoma,appear center circl color differ direct eye flash light look photograph pupil red shone swell take white
complicated grief,accept activ avoid believ bitter blame carri death deceas deep depress detach die enjoy excess experi extrem feel focus guilt hold inabl intens isol lack life littl live long loss love mean normal numb pain persist pine posit prevent problem purpos remind routin rumin sad self social sorrow think troubl trust wish withdraw worth wrong
persistent depressive disorder (dysthymia),activ anger appetit avoid concentr critic daili decis decreas effect empti energi esteem excess feel guilt hopeless incap interest irrit lack loss low make over past poor problem product sad self sleep social tired troubl worri
anterior prolapse (cystocele),bear bladder bulg case complet cough difficulti empti feel frequent full includ incontin increas leak lift need pelvi pelvic pressur problem start strain stream tissu urin urinari vagina
egg allergy,allerg allergi asthma breath chest common congest cough cramp digest egg hive inflamm nasal nausea nose reaction rhiniti runni short sign skin sneez symptom tight vomit wheez
morphea,affect arm belli center chang chest develop dri especi firm forehead gradual leg lighter linear oval patch possibl purplish reddish scalp shini skin thicken whitish
rectovaginal fistula,anus area discharg foul gas infect intercours irrit pain passag perineum pus recurr sexual smell stool tract urinari vagin vagina vulva
dry macular degeneration,adapt bent blind blurri bright brighter central close color decreas defin difficulti dim distort enter eye face field increas intens level light line lit low need print read recogn reduc restaur spot straight vision visual word work
cold sore,ach appear blister border burn burst cheek crust day erupt feel fever fill fluid gum hard headach insid itch leav lip lymph merg mouth muscl node nose ooz open pain peopl shallow small sore spot swollen throat tingl typic
oral thrush,appear area areola bleed breast burn caus cheek chees circular corner cottag cottoni crack creami darker deep dentur difficulti eat feed feel flaki gum inner irrit itchi lesion like loss mouth nippl nurs pain rais red roof rub scrape sensit sever shini skin slight sore stab stomat swallow tast tongu tonsil unusu white
dermatographia,hive inflamm itch like line rais red swell welt
nearsightedness,blink blurri caus classroom clear close closer difficulti distant drive especi excess eye eyelid eyestrain frequent headach look movi myopia need night object partial persist rub screen see sit squint televis unawar vehicl vision
serotonin syndrome,agit blood bump confus coordin diarrhea dilat fever goos headach heart heartbeat heavi high irregular loss muscl pressur pupil rapid rate restless rigid seizur shiver sweat twitch unconsci
truncus arteriosus,blue breath color excess feed growth heart poor pound rapid short skin sleepi
carcinoma of unknown primary,bowel chang constip cough diarrhea felt fever frequent habit lose lump new night pain persist skin sweat tri urin weight
rocky mountain spotted fever,ach chang chill confus fever headach high muscl nausea neurolog sever vomit
patent ductus arteriosus (pda),breath breathless cri easi eat fast growth heart lead persist poor rapid rate sweat tire
